Feature,Importance,Std
Afdelinger,0.054320310581571093,0.0016886903521806087
Aldersgruppe,0.01848708649658708,0.0009488297208725092
Stilling_niv1,0.031831970196829484,0.001264042274426362
Koen,0.0059724758632023756,0.0006806406416321231
Year,0.03914314011076751,0.001444231390663689
Month,0.027059980559464635,0.0014383807294238461
Day,0.002306895265929576,0.0008668188420775181
is_weekend,0.05590656833406994,0.0032789371981568304
weekday,0.09957965407724188,0.0035999580174825184
is_holiday,0.009428375112986687,0.0007221136008438567
is_school_holiday,0.0010988671883195079,0.0006232317370148266
Antal_timer_yesterday,0.2787902665379008,0.0035203336009934083
Antal_Loentimer,0.3186393137954507,0.0033571338959128513
Antal_Kontakter,0.028185220050598047,0.0011788538832326247
