Feature,Importance,Std
Afdelinger,0.0525712436239665,0.001273513365826981
Aldersgruppe,0.01977476505234892,0.0007565312816876331
Stilling_niv1,0.029596038241779466,0.0013864205974106645
Koen,0.007988502609303793,0.000977594466972286
Year,0.038977709325243096,0.0016387403288202404
Month,0.02745880996138772,0.0010814119962363495
Day,0.001998859935105368,0.0005809975682901472
is_weekend,0.07280810775357358,0.002348087274431595
weekday,0.08870501427034351,0.0027761069238517607
is_holiday,0.007452166908455715,0.0008530552699819748
is_school_holiday,0.0014902238281075508,0.0004516816396494936
Antal_timer_yesterday,0.29202862441585753,0.0016817977065435102
Antal_Loentimer,0.2990749654711514,0.004135393461806303
Antal_Kontakter,0.027917473899996093,0.0009415610505365733
