Feature,Importance,Std
Afdelinger,0.050006985664367676,0.0011373702606395188
Aldersgruppe,0.0120133638381958,0.0007454749079947527
Stilling_niv1,0.019576936960220337,0.001185952976998148
Koen,0.0024182498455047607,0.0003854729864133981
Year,0.05340602993965149,0.002200902818301372
Month,0.03911750316619873,0.0017888606928744206
Day,0.0023465573787689207,0.0005499337913732422
is_weekend,0.08297215104103088,0.0024961503879193537
weekday,0.07506694793701171,0.0021808614861495027
is_holiday,0.008352488279342651,0.001187204119804595
is_school_holiday,0.0011316776275634766,0.00032112684646447916
Antal_timer_yesterday,0.27102071046829224,0.0028550397335949823
Antal_Loentimer,0.3735698997974396,0.004595897441626342
Antal_Kontakter,0.030775076150894164,0.0016903016082601117
