Feature,Importance,Std
Afdelinger,0.04228132230854292,0.0016140149786844427
Aldersgruppe,0.02217074460880658,0.001043645620334867
Stilling_niv1,0.026264326644130812,0.001263914970817738
Koen,0.006167969081712087,0.000728366171353827
Year,0.02570482440458406,0.0015531904350028305
Month,0.03446377673903805,0.0013671984309414052
Day,0.03377768224228345,0.0008457353788810265
is_weekend,0.05969256982585557,0.0035813862821354797
weekday,0.08508342090076673,0.0032582898097477746
is_holiday,0.006551268735140929,0.0007395448488164555
is_school_holiday,0.004059971353008531,0.000656355642137988
Antal_timer_yesterday,0.37552878344364204,0.0033946927355293596
Antal_Loentimer,0.23622581381422827,0.0032444463792617403
Antal_Kontakter,0.04202752589825996,0.001167574696573207
